algorithm,n,procs,time_s
naive,256,1,0.1823
naive,256,4,0.0612
naive,256,9,0.0391
naive,256,16,0.0298
cannon,256,1,0.1801
cannon,256,4,0.0487
cannon,256,9,0.0241
cannon,256,16,0.0158
naive,512,1,1.4672
naive,512,4,0.4891
naive,512,9,0.2817
naive,512,16,0.2103
cannon,512,1,1.4589
cannon,512,4,0.3821
cannon,512,9,0.1843
cannon,512,16,0.1124
naive,1024,1,11.7834
naive,1024,4,4.1023
naive,1024,9,2.3411
naive,1024,16,1.9872
cannon,1024,1,11.7201
cannon,1024,4,3.1234
cannon,1024,9,1.4122
cannon,1024,16,0.8341
